,Unnamed: 0,wss@95_old,wss@95_new,wss@R_old,wss@R_new,Recall_wss@95,Recall_wss@R,acc@95,acc@R,f1@95,f1@R,treshould@95,name,layer_size,attempt
9,9,0.9035,0.9123,0.7162,0.7231,0.9535,0.7442,0.9587721228599548,0.9766972661018372,0.3082706928253174,0.3809523582458496,0.7330667,Fluoride,4,4
10,10,0.2564,0.3094,0.1238,0.1494,0.95,0.1851,0.4606214165687561,0.8307355046272278,0.3764603435993194,0.2726335823535919,0.24364057,Neuropain,4,0
11,11,0.2879,0.3475,0.1836,0.2215,0.95,0.2924,0.4921722412109375,0.8199787735939026,0.3907110691070556,0.3576579988002777,0.27152982,Neuropain,4,1
12,12,0.2913,0.3515,0.266,0.321,0.95,0.4767,0.4954952001571655,0.7813024520874023,0.3922749757766723,0.4276492893695831,0.5384857,Neuropain,4,2
13,13,0.3,0.3621,-0.0008,-0.001,0.95,0.0,0.5042307376861572,0.8277893662452698,0.3964467346668243,0.0,0.29721317,Neuropain,4,3
14,14,0.2789,0.3366,0.1814,0.219,0.95,0.315,0.4831283688545227,0.8030214905738831,0.3865170478820801,0.3540777862071991,0.07644784,Neuropain,4,4
15,15,0.7391,0.7495,0.6981,0.7078,0.954,0.9655,0.7976247072219849,0.7453681826591492,0.1149584501981735,0.0945945978164672,0.93497795,PFOS-PFOA,4,0
16,16,0.6234,0.6321,0.1639,0.1661,0.954,0.2299,0.6818685531616211,0.9265241622924804,0.0763218328356742,0.079365074634552,0.54203457,PFOS-PFOA,4,1
17,17,0.7477,0.7581,0.1816,0.1842,0.954,0.1954,0.8061757683753967,0.9778305888175964,0.1194244623184204,0.1954022943973541,0.67809606,PFOS-PFOA,4,2
18,18,0.6183,0.627,-0.0016,-0.0016,0.954,0.0,0.6768012642860413,0.9846397638320924,0.0752152204513549,0.0,0.36613604,PFOS-PFOA,4,3
19,19,0.5976,0.6059,0.4198,0.4256,0.954,0.5632,0.6560570001602173,0.8582739233970642,0.0710008591413497,0.0986908376216888,0.7338931,PFOS-PFOA,4,4
20,20,0.5238,0.5321,0.4605,0.4678,0.9511,0.498,0.586750864982605,0.9624038338661194,0.0668740943074226,0.2920216917991638,0.17581752,Transgenerational,4,0
21,21,0.5046,0.5126,0.2862,0.2907,0.9511,0.3144,0.5675208568572998,0.9660236239433287,0.0640911534428596,0.2236842215061187,0.1711192,Transgenerational,4,1
22,22,0.2048,0.2081,0.2077,0.2109,0.9511,0.2272,0.2677388787269592,0.9719468355178832,0.038872692734003,0.2014051526784896,0.11334994,Transgenerational,4,2
23,23,0.5229,0.5311,0.3781,0.3841,0.9511,0.4095,0.5857841968536377,0.9657562375068665,0.0667284578084945,0.2713347971439361,0.48094025,Transgenerational,4,3
24,24,0.4117,0.4182,0.3272,0.3324,0.9511,0.3514,0.4746411144733429,0.9712064266204834,0.0533649586141109,0.2753623127937317,0.21860199,Transgenerational,4,4
